Nombre;Marca;Categoria;Tamano;Precio;Imagen;Salida;Corazon;Fondo;Stock
Asad bourbon;LATTAFA;Hombre;100ml;23.95;assets/img/perfumes/Asad Bourbon.webp;Pimienta, Especias negras, Humo dulce;Vino de Bourbon, Notas de café, Pachulí;Vainilla densa, Ámbar, Maderas quemadas;0
ASAD NEGRO;LATTAFA;Hombre;100ml;23.95;;Pimienta negra, Piña, Tabaco, Hojas de cedro;Café, Pachulí de Sumatra, Iris, Canela;Vainilla, Ámbar, Benzofui, Maderas aromáticas;0
Atlas 55ml;LATTAFA;Hombre;55ml;38.95;assets/img/perfumes/atlas.webp;Notas marinas intensas, Sal de mar, Limón;Calone, Flor de azahar, Algas marinas;Ámbar gris, Cedro, Musgo de roble;0
Bade Noble Blush;LATTAFA;Mujer;100ml;25.99;assets/img/perfumes/Badee Al Oud Noble Blush.webp;Almendra, Crema de rosa, Pimienta rosa;Flor de azahar, Vainilla de Madagascar;Sándalo, Almizcle blanco, Ámbar;0
Bade'e Al Oud Sublime;LATTAFA;Mujer;100ml;27.50;assets/img/perfumes/Badee Al Oud Sublime.webp;Lichi, Rosa, Manzana verde crujiente;Jazmín, Ciruela madura, Acorde frutal;Vainilla, Pachulí, Musgo purificado;0
Badee Al Oud;LATTAFA;Hombre;100ml;25.00;assets/img/perfumes/Badee Al Oud.webp;Azafrán, Lavanda, Nuez moscada;Madera de Oud, Pachulí terroso;Oud natural, Almizcle, Pachulí dulce;0
Badee al oud (Mini);LATTAFA;Formatos 50ml;50ml;7.99;assets/img/perfumes/Badee Al Oud.webp;Azafrán, Nuez moscada, Lavanda francesa;Madera de Oud, Pachulí balsámico;Almizcle, Esencias oscuras;0
Club de Nuite;ARMAF;Hombre;100ml;32.95;assets/img/perfumes/club de nuit intense man.webp;Limón, Piña, Bergamota, Grosellas negras;Abedul, Jazmín, Rosa mística;Almizcle, Ámbar gris, Pachulí, Vainilla;0
Dana;LE FALCONE;Mujer;100ml;32.95;;Notas florales, Pera silvestre, Cítricos;Jazmín de agua, Miel, Orquídea;Almizcle, Caramelo, Haba tonka;0
Eclaire;LATTAFA;Mujer;100ml;32.99;;Caramelo, Leche condensada, Azúcar tostado;Miel blanca, Notas florales suaves;Vainilla de Bourbon, Almizcle, Cacao;0
Eclaire Banoffi;LATTAFA;Mujer;100ml;32.99;assets/img/perfumes/Eclaire Banoffee.webp;Plátano maduro, Toffee, Crema de leche;Galleta María, Caramelo fundido;Vainilla, Notas dulces de pastelería;0
Eclaire Pistache;LATTAFA;Mujer;100ml;32.99;assets/img/perfumes/Eclaire Pistache.webp;Pistacho picado, Helado cremoso, Almendra;Flores blancas, Azúcar glass;Almizcle limpio, Vainilla fina;0
Fakhar black;LATTAFA;Hombre;100ml;23.95;assets/img/perfumes/Fakhar Black.webp;Manzana, Jengibre fresco, Bergamota;Salvia, Bayas de enebro, Geranio;Ámbar, Haba tonka, Cedro, Vetiver;0
Fakhar Gold;LATTAFA;Hombre;100ml;23.95;assets/img/perfumes/Fakhar Gold.webp;Nuez moscada, Azafrán, Toronja;Oud, Pachulí, Madera de Gaiac;Cuero, Ámbar, Almizcle denso;0
Fakhar Rose;LATTAFA;Mujer;100ml;25.00;assets/img/perfumes/Fakhar Rose.webp;Frutas, Lirio, Granada, Aldehídos;Tuberosa, Jazmín, Gardenia, Rosa, Peonía;Vainilla, Almizcle blanco, Sándalo, Ambroxan;0
Hawas black;RASASI;Hombre;100ml;36.95;assets/img/perfumes/Hawas Black.webp;Pimienta, Especias negras, Cítricos;Maderas ahumadas, Notas de cuero;Ámbar gris, Oud, Pachulí de Sumatra;0
Hawas fire;RASASI;Hombre;100ml;40.00;assets/img/perfumes/Hawas Fire.webp;Especias de fuego, Azafrán, Nuez moscada;Maderas quemadas, Cuero negro;Ámbar gris noble, Almizcle de Oriente;0
Hawas for him;RASASI;Hombre;100ml;36.95;assets/img/perfumes/Hawas for Him.webp;Manzana, Bergamota, Canela, Limón italiano;Notas marinas, Cardamomo, Ciruela madura, Melón;Ámbar gris, Almizcle, Madera de deriva, Pachulí;0
Hawas Ice;RASASI;Hombre;100ml;40.00;assets/img/perfumes/Hawas Ice.webp;Menta congelada, Limón de Sicilia, Manzana, Bergamota;Cardamomo, Ciruela, Flor de azahar;Ámbar gris, Almizcle, Sándalo, Madera flotante;0
Hawas tropical;RASASI;Hombre;100ml;39.99;assets/img/perfumes/Hawas Tropical.webp;Piña, Coco fresco, Mango, Mandarina;Notas marinas, Hojas de palmera;Ámbar, Almizcle blanco, Maderas claras;0
Haya;LATTAFA;Mujer;100ml;27.95;assets/img/perfumes/Haya.webp;Champaña rosa, Fresa, Mandarina, Rosa;Gardenia, Jazmín de agua, Orquídea de vainilla;Castaña, Sándalo refinado, Ámbar;0
hayaati;LATTAFA;Hombre;100ml;20.00;assets/img/perfumes/Hayati.webp;Manzana, Bergamota de Calabria, Pimienta;Canela, Notas amaderadas, Canela en rama;Almizcle, Vainilla suave, Madera de sándalo;0
Her Confession;LATTAFA;Mujer;100ml;38.50;assets/img/perfumes/Her Confession.webp;Mandarina mística, Miel, Canela;Tuberosa, Jazmín Sambac, Incienso;Vainilla, Cuero blanco, Ámbar;0
His Confession;LATTAFA;Hombre;100ml;38.50;;Pimienta negra, Mandarina, Incienso;Cuero, Notas amaderadas, Pachulí;Vainilla negra, Ámbar gris, Sándalo;0
Khamrah Dukhan;LATTAFA;Hombre;100ml;32.95;assets/img/perfumes/Khamrah Dukhan.jpg;Canela, Nuez moscada, Humo de incienso;Dátiles, Praliné, Madera de Oud;Vainilla, Haba tonka, Mirra, Resinas;0
Khamrah Qawha;LATTAFA;Hombre;100ml;32.95;;Canela, Cardamomo de Guatemala, Jengibre;Café Árabe, Praliné, Frutas confitadas, Nardos;Vainilla de Madagascar, Haba tonka, Benzofui, Almizcle;0
Lattafa Ana Abiyedh Rouge Unisex EDP 60ml;LATTAFA;Unisex;60ml;20.95;;Pera madura, Bergamota fresca;Geranio, Cardamomo, Cilantro;Ámbar, Almizcle blanco, Cuero, Vetiver;0
Lattafa Angham Unisex EDP 100ml;LATTAFA;Unisex;100ml;26.95;;Jengibre, Mandarina, Pimienta rosa;Praliné, Lavanda, Jazmín;Vainilla, Ámbar, Haba tonka;0
Lattafa Asad Elixir Men EDP 100ml;LATTAFA;Hombre;100ml;27.99;;Pimienta negra, Especias de Elixir, Regaliz;Madera de águila (Oud), Vainilla densa;Sándalo, Ámbar, Vetiver de Haití;0
Lattafa Badee Al Oud Sublime Unisex EDP 100ml;LATTAFA;Unisex;100ml;27.50;;Lichi, Manzana verde, Rosa pura;Ciruela, Jazmín blanco;Vainilla, Pachulí, Musgo;0
Lattafa Dalal Women EDP 100ml;LATTAFA;Mujer;100ml;34.50;;Notas cítricas dulces, Naranja dulce;Caramelo, Sándalo, Notas florales;Vainilla, Almizcle fino;0
Lattafa Victoria Women EDP 100ml;LATTAFA;Mujer;100ml;35.00;;Frutas rojas, Bergamota, Mandarina;Rosa, Jazmín, Notas dulces;Almizcle, Ámbar, Pachulí;0
Liam;LATTAFA;Hombre;100ml;24.95;assets/img/perfumes/Liam.webp;Higo, Cardamomo, Té negro;Iris, Ládano, Vetiver;Sándalo, Vainilla, Madera de cedro;0
Liquid Brun;FRENCH AVENUE;Hombre;100ml;37.95;assets/img/perfumes/Liquid Brun.webp;Canela fina, Azahar del naranjo, Bergamota;Vainilla Bourbon, Haba tonka;Ámbar, Maderas preciosas, Almizcle;0
Lush Cherry (Mini);LATTAFA;Formatos 50ml;50ml;7.99;assets/img/perfumes/Lush Cherry.webp;Cereza negra, Almendra amarga, Licor de cereza;Rosa de Turquía, Jazmín Sambac, Ciruela;Haba tonka, Vainilla, Clavo de olor, Canela;0
Maahir Legacy;LATTAFA;Hombre;100ml;28.99;assets/img/perfumes/Maahir Legacy.webp;Menta, Toronja, Lavanda, Calone, Piña;Enebro de Virginia, Romero, Geranio, Pimienta;Ambroxan, Musgo de roble, Vetiver, Cachemira;0
Mayar;LATTAFA;Mujer;100ml;26.50;assets/img/perfumes/Mayar.webp;Frambuesa, Lichi, Hojas de violeta;Rosa, Jazmín de agua, Peonía;Vainilla, Almizcle, Sándalo;0
Nebras;LATTAFA;Hombre;100ml;29.99;assets/img/perfumes/Nebras.webp;Frutos rojos, Mandarina jugosa;Cacao cremoso, Rosa, Azúcar moreno;Vainilla, Haba tonka, Ámbar, Almizcle;0
Now (Mini);RAVE;Formatos 50ml;50ml;7.99;assets/img/perfumes/Now Men.webp;Piña madura, Sandía, Limón;Jazmín, Notas florales del desierto;Almizcle, Sándalo, Cedro;0
Now Men;RAVE;Hombre;100ml;23.95;assets/img/perfumes/Now Men.webp;Piña, Grosellas negras, Bergamota, Manzana;Abedul, Jazmín de Marruecos, Rosa;Almizcle, Liquen, Ámbar gris, Vainilla;0
Now Women;RAVE;Mujer;100ml;23.95;assets/img/perfumes/Now Women.webp;Frutos rojos, Malvavisco, Mandarina;Lirio de los valles, Vainilla, Jazmín;Almizcle blanco, Ámbar, Haba tonka;0
Oddysey Artisto;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Artisto.webp;Limón, Elemi, Especias frescas;Lavanda, Geranio, Notas verdes;Cuero, Cedro, Pachulí, Ámbar;0
Oddysey Homme;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Homme.jpg;Vainilla, Ámbar negro, Notas orientales;Iris, Especias finas, Esencia de cuero;Maderas oscuras, Almizcle de Argelia;0
Oddysey Limoni;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Limoni.webp;Limón de Amalfi, Mandarina, Lima;Menta fresca, Jengibre, Flor de azahar;Madera de cedro, Vetiver, Almizcle;0
Oddysey Mandarin;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Mandarin.jpg;Mandarina, Naranja dulce, Salvia;Caramelo, Tagetes, Haba tonka;Vetiver, Pachulí, Cedro;0
Oddysey Mega;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Mega.webp;Bergamota, Naranja, Jengibre, Menta;Salvia, Enebro, Geranio;Haba tonka, Vetiver, Madera de cedro;0
Oddysey White Edition;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey White Edition.webp;Yuzu, Pimienta rosa, Toronja;Notas marinas, Hojas de violeta;Madera de gaiac, Ámbar gris, Sándalo;0
Oddysey Wild One;ARMAF;Hombre;100ml;30.00;assets/img/perfumes/Odyssey Wild One.webp;Pimienta, Bergamota, Limón, Menta;Lavanda, Vetiver, Pachulí, Jengibre;Cedro, Ládano, Almizcle blanco;0
Qaed Al Fursan;LATTAFA;Hombre;100ml;20.00;assets/img/perfumes/Qaed Al Fursan.jpg;Piña madura pura, Azafrán, Bergamota;Jazmín, Resina de abeto, Cedro balsámico;Ámbar, Oud ligero, Notas amaderadas;0
Qaed al fursan (Mini);LATTAFA;Formatos 50ml;50ml;7.99;;Piña, Azafrán oriental;Jazmín, Madera de abeto;Ámbar gris, Cedro;0
Rasasi Hawas Eclat Women EDP 100ml;RASASI;Mujer;100ml;35.00;assets/img/perfumes/Rasasi Hawas Eclat.webp;Lichi, Mandarina, Limón de Amalfi;Rosa, Jazmín de agua, Melocotón;Almizcle, Haba tonka, Sándalo;0
Rasasi Hawas Men EDP 100ml;RASASI;Hombre;100ml;35.00;;Manzana, Bergamota, Canela;Notas marinas, Cardamomo, Ciruela;Ámbar gris, Almizcle, Maderas;0
Rayhaan Pacific Men EDP 100ml;RAYHAAN,Hombre,100ml;Hombre;100ml;30.00;assets/img/perfumes/Rayhaan Pacific Men.webp;Lavanda, Flor de azahar, Salvia;Ámba+H61r gris, Musgo de roble, Pachulí;Notas marinas, Mandarina, Mandarina del desierto;0
Royal Blend;FRENCH AVENUE;Hombre;100ml;34.99;assets/img/perfumes/Royal Blend.jpg;Coñac francés, Canela, Nuez moscada;Madera de roble, Praliné, Dátiles;Vainilla, Sándalo, Haba tonka;0
Sehr;LATTAFA;Hombre;100ml;38.95;assets/img/perfumes/Sehr.webp;Almendra amarga, Canela de Ceilán;Jazmín, Maderas exóticas, Humo;Haba tonka, Vainilla bourbon, Ámbar;0
Shaheen Gold;LATTAFA;Hombre;100ml;34.95;assets/img/perfumes/Shaheen Gold.webp;Piña, Toronja, Cítricos del Mediterráneo;Higo maduro, Lavanda, Pachulí;Haba tonka, Vainilla, Cuero fino, Ámbar;0
Vulcan Feu;FRENCH AVENUE;Hombre;100ml;37.99;assets/img/perfumes/Vulcan Feu.webp;Pimienta negra, Jengibre, Nuez moscada;Incienso místico, Maderas oscuras;Oud selecto, Almizcle negro, Ámbar;0
Yara;LATTAFA;Formatos 50ml;50ml;7.99;assets/img/perfumes/Yara.webp;Orquídea, Heliotropo, Naranja dulce;Acorde Gourmand, Crema de frutas;Vainilla, Sándalo de la India;0
Yara rosa;LATTAFA;Mujer;100ml;23.95;assets/img/perfumes/Yara Rosa.webp;Orquídea, Heliotropo, Mandarina madura;Acorde Gourmand dulce, Frutas tropicales cremosa;Vainilla pura, Sándalo, Almizcle blanco;0
Yara Candy;LATTAFA;Mujer;100ml;23.95;assets/img/perfumes/Yara Candy.jpg;Manzana verde confitada, Grosella negra, Mandarina;Fresa madura, Vainilla suave, Gominola frutal;Almizcle limpio, Sándalo dulce, Ámbar de fondo;0
Yara Elixir;LATTAFA;Mujer;100ml;27.95;assets/img/perfumes/Yara Elixir.webp;Mandarina madura, Coco cremoso, Melocotón;Rosa de Turquía, Jazmín Sambac, Flor de azahar;Vainilla densa, Ámbar rico, Sándalo noble;0
Yara Moi;LATTAFA;Mujer;100ml;23.95;assets/img/perfumes/Yara Moi.webp;Frambuesa silvestre, Melocotón blanco, Bergamota;Jazmín de agua, Peonía rosa, Rosa;Vainilla, Almizcle cremoso, Sándalo oriental;0
Yara Tous;LATTAFA;Mujer;100ml;23.95;assets/img/perfumes/Yara Tous.webp;Mango tropical, Coco cremoso, Maracuyá (Fruta de la pasión);Jazmín de agua, Flor de azahar, Heliotropo;Vainilla de Madagascar, Almizcle blanco, Cashmeran;0
